"int.f0","man.dm.f0","bLS.r1","wt.r1","air.temp.r1","wind.wt.r1","wind.bLS.r1","man.dm.r1","man.ph.r1","int.r2","rain.rate.r2","bLS.r3","wt.r3","wind.wt.r3","wind.bLS.r3","air.temp.r3","man.ph.r3","pmid"
-0.539800125188777,0.399670699937794,NA,NA,0.0735426766754151,NA,NA,-0.139881887708132,0.665,-1.2212624638525,0.394021556916743,NA,NA,NA,NA,0.878095722383404,0.238,"1904"
-0.530189450161164,0.399670699937794,NA,NA,0.0735426766754151,NA,NA,-0.139881887708132,0.665,-1.23828894144507,0.394021556916743,NA,NA,NA,NA,0.85909070858712,0.238,"1905"
-0.562880216038726,0.399670699937794,NA,NA,0.0735426766754151,NA,NA,-0.139881887708132,0.665,-1.20102340366032,0.394021556916743,NA,NA,NA,NA,0.90516801867705,0.238,"1906"
-0.565635049403008,0.399670699937794,NA,NA,0.0735426766754151,NA,NA,-0.139881887708132,0.665,-1.19419671615203,0.394021556916743,NA,NA,NA,NA,0.912560293579628,0.238,"1907"
-0.549972986851686,0.399670699937794,NA,NA,0.0735426766754151,NA,NA,-0.139881887708132,0.665,-1.22528941342353,0.394021556916743,NA,NA,NA,NA,0.879891910569115,0.238,"1908"
-0.571843960042631,0.399670699937794,NA,NA,0.0735426766754151,NA,NA,-0.139881887708132,0.665,-1.19423621858263,0.394021556916743,NA,NA,NA,NA,0.920091534623155,0.238,"1909"
-0.559494047222252,0.399670699937794,NA,NA,0.0735426766754151,NA,NA,-0.139881887708132,0.665,-1.21590968319105,0.394021556916743,NA,NA,NA,NA,0.897048639944225,0.238,"1910"
-0.0438523351692447,0.399670699937794,NA,NA,0.0735426766754151,NA,NA,-0.139881887708132,0.665,-1.99207111058452,0.394021556916743,NA,NA,NA,NA,0.0440752659522414,0.238,"1911"
0.0442451332996875,0.399670699937794,NA,NA,0.0735426766754151,NA,NA,-0.139881887708132,0.665,-2.08960238922476,0.394021556916743,NA,NA,NA,NA,0.06684227259226,0.238,"1912"
-0.0834212843618652,0.399670699937794,NA,NA,0.0735426766754151,NA,NA,-0.139881887708132,0.665,-2.01062442964844,0.394021556916743,NA,NA,NA,NA,0.074527449099967,0.238,"1913"
-0.271174555790714,0.399670699937794,NA,NA,0.0735426766754151,NA,NA,-0.139881887708132,0.665,-1.79311985038649,0.394021556916743,NA,NA,NA,NA,0.0530519067930232,0.238,"1914"
0.0471934067576574,0.399670699937794,NA,NA,0.0735426766754151,NA,NA,-0.139881887708132,0.665,-2.2999276985538,0.394021556916743,NA,NA,NA,NA,0.0832877903586053,0.238,"1915"
0.417152738276026,0.399670699937794,NA,NA,0.0735426766754151,NA,NA,-0.139881887708132,0.665,-2.50611596222358,0.394021556916743,NA,NA,NA,NA,0.0630017193775221,0.238,"1916"
0.281159608747957,0.399670699937794,NA,NA,0.0735426766754151,NA,NA,-0.139881887708132,0.665,-2.1560622392197,0.394021556916743,NA,NA,NA,NA,0.0763488337552849,0.238,"1917"
-0.355745885085778,0.399670699937794,NA,NA,0.0735426766754151,NA,NA,-0.139881887708132,0.665,-1.87881686227358,0.394021556916743,NA,NA,NA,NA,-0.113179977889441,0.238,"1918"
-0.733786021442213,0.399670699937794,NA,NA,0.0735426766754151,NA,NA,-0.139881887708132,0.665,-0.967640661248483,0.394021556916743,NA,NA,NA,NA,-0.9829733739868,0.238,"1919"
-0.689641296376437,0.399670699937794,NA,NA,0.0735426766754151,NA,NA,-0.139881887708132,0.665,-1.07013052014778,0.394021556916743,NA,NA,NA,NA,-0.952394707104097,0.238,"1920"
-0.689992384160642,0.399670699937794,NA,NA,0.0735426766754151,NA,NA,-0.139881887708132,0.665,-1.05961589935583,0.394021556916743,NA,NA,NA,NA,-0.962805776458586,0.238,"1921"
-0.554366555986053,0.399670699937794,NA,NA,0.0735426766754151,NA,NA,-0.139881887708132,0.665,-1.70025523752509,0.394021556916743,NA,NA,NA,NA,-0.0904180409825394,0.238,"1922"
-0.724320324930679,0.399670699937794,NA,NA,0.0735426766754151,NA,NA,-0.139881887708132,0.665,-0.982606143058454,0.394021556916743,NA,NA,NA,NA,-0.983138557313509,0.238,"1923"
-0.709825387238298,0.399670699937794,NA,NA,0.0735426766754151,NA,NA,-0.139881887708132,0.665,-1.08216753710309,0.394021556916743,NA,NA,NA,NA,-0.948370513881689,0.238,"1924"
0.380005031724651,0.399670699937794,NA,NA,0.0735426766754151,NA,NA,-0.139881887708132,0.665,-1.71680563402053,0.394021556916743,NA,NA,NA,NA,-0.0135214897809636,0.238,"1925"
0.557350971622379,0.399670699937794,NA,NA,0.0735426766754151,NA,NA,-0.139881887708132,0.665,-1.97780147530942,0.394021556916743,NA,NA,NA,NA,1.56439088736294,0.238,"1935"
-0.171927231062356,0.399670699937794,NA,NA,0.0735426766754151,NA,NA,-0.139881887708132,0.665,-2.53888066667484,0.394021556916743,NA,NA,NA,NA,0.0996179154140497,0.238,"1936"
-0.507178459929236,0.399670699937794,NA,NA,0.0735426766754151,NA,NA,-0.139881887708132,0.665,-1.7144132872201,0.394021556916743,NA,NA,NA,NA,1.02951294444737,0.238,"1938"
