Time	SH	UST	L	sigW	sigU	sigV	WS	WD	airT	Pair	z_sonic	z0	d
04-Jan-2022 15:00:00	-18.7331408135789	0.215476910168897	47.4073470936984	1.61405299791591	3.01300071853264	3.3625707968394	2.04040927611887	207.15930644833	2.24364290203206	98913.8607639131	2	0.0442380004199454	0.0466666666666627
04-Jan-2022 15:30:00	-30.8763363204544	0.229920600147871	34.8983777274336	1.76078231178071	3.40752718248506	3.22228824720981	2.39631778990802	205.782561851488	1.89086613072356	98888.9199580566	2	0.0302151726321365	0.0466666666666627
04-Jan-2022 16:00:00	-28.490274569953	0.256329844678949	52.3783450047688	1.83420810699162	3.38401947003113	3.45541894863953	2.70866611853468	202.680625808913	1.73482284913272	98894.4804625898	2	0.0285155024834041	0.0466666666666627
04-Jan-2022 16:30:00	-38.006671441893	0.1993217458608	18.4450310873105	2.21741410689093	4.05364068911777	3.89778587069929	2.44454903660512	209.92811594554	1.49712607811522	98844.6041652058	2	0.0144624819751183	0.0466666666666627
04-Jan-2022 17:00:00	-19.1321399798314	0.163298556865088	20.1434351983543	2.21192850018681	4.32441848730214	4.77111446078379	2.14193764314608	201.242811234433	1.41800217345588	98838.5648180607	2	0.0102842532112642	0.0466666666666627
04-Jan-2022 17:30:00	-14.0008557168233	0.158182657776006	24.9998536233803	1.90655639351456	3.9652496020651	4.99052853106369	1.75562913583534	213.604759857461	1.20654147982069	98827.7606502242	2	0.023052960631879	0.0466666666666627
04-Jan-2022 18:00:00	-21.1376400759244	0.0984588495685313	3.9914569731045	2.92314297260075	5.40112612256814	5.99721547846178	1.52869942485341	211.409931684311	1.08542686985467	98798.3534769662	2	0.00392270543271872	0.0466666666666627
04-Jan-2022 18:30:00	-28.0887228239542	0.177698959281737	17.6559254868873	1.86301453237257	3.39303112347751	3.60611748283526	1.69811561535462	206.829771614533	1.05016091712245	98798.9622773805	2	0.042727287111603	0.0466666666666627
04-Jan-2022 19:00:00	-27.9284913164554	0.191590392572347	22.265483476946	1.92569583173922	3.79545088202787	3.55057959809454	2.17947679055857	198.376050378659	1.17052441799409	98843.0071766147	2	0.0206354092978988	0.0466666666666627
04-Jan-2022 19:30:00	-33.3265521077414	0.167342107222273	12.4399677860218	2.41946172583461	4.69259364564976	4.33687161829159	2.25027005305565	213.369205390975	1.3193277281486	98790.5762830618	2	0.00901097271620061	0.0466666666666627
04-Jan-2022 20:00:00	-44.5648958199001	0.261000418575317	35.2932174161711	1.84998977642498	3.44040356199852	3.49247559711453	2.49565277915874	205.822859866944	1.2982172145511	98801.6962220509	2	0.0426293724874097	0.0466666666666627
04-Jan-2022 20:30:00	-37.8076283237695	0.246960139916217	35.2607391365473	1.99449204279477	4.80132764704733	4.22486901774914	3.1389722734835	217.677928213344	1.44342712969136	98838.6060202544	2	0.0120989202976405	0.0466666666666627
04-Jan-2022 21:00:00	-29.0067484243824	0.236689631409878	40.3953559785936	2.13204154904601	4.21924400687248	4.05435868746769	2.86600943519114	201.537722174616	1.00278770049735	98821.3595293129	2	0.0153913085297719	0.0466666666666627
04-Jan-2022 21:30:00	-34.1175794491013	0.295261203166474	66.6769171968439	1.94594639037903	3.67319141382745	3.94104806167862	3.38443787316923	209.512327091415	1.02916316379435	98626.8810424548	2	0.0199311536153144	0.0466666666666627
04-Jan-2022 22:00:00	-28.9070403886687	0.266123503008031	57.6018922838744	1.99569776742936	3.88354368209861	3.83636088307585	2.93222940821078	209.155611050455	0.938342090514235	98644.272803699	2	0.0238068027312846	0.0466666666666627
04-Jan-2022 22:30:00	-21.1241279655522	0.178551065175447	23.8132340861686	2.34898073252177	4.55624366347042	4.46403921550962	2.43303578990649	206.009359357456	1.01354881636088	98598.3120885278	2	0.00838689914496595	0.0466666666666627
04-Jan-2022 23:00:00	-27.4527237484401	0.241074151514245	45.1410586065259	2.10731591333741	4.24142466609966	4.41841947517259	2.96176721394414	211.060020370539	1.26327510152643	98586.1609018345	2	0.0143393632163282	0.0466666666666627
04-Jan-2022 23:30:00	-41.818117381715	0.284316831064463	48.6310941817686	1.95795736602928	4.83989046605391	3.99726170608391	3.84836081514826	223.280276825191	1.36791205713494	98566.2932362414	2	0.00869811358407464	0.0466666666666627
05-Jan-2022 00:00:00	-38.0865892641606	0.298549204597266	61.8091671827069	1.73838424495789	3.2590811011182	3.25361441050104	2.95223365229958	202.114825079972	1.30876029293256	98540.6145975682	2	0.0374068039008462	0.0466666666666627
05-Jan-2022 00:30:00	-26.8460725085885	0.295774726309651	85.2656571138073	1.74528145071409	3.45686416358944	3.28326356576526	3.08893993168701	195.4642835115	1.30528435355099	98509.5916795069	2	0.0299602102061573	0.0466666666666627
05-Jan-2022 01:00:00	-39.4643246488822	0.357475516237195	102.475989833171	1.65562216725434	3.37094660015173	3.15492655769923	3.2972681379135	202.109303807231	1.50516431924889	98491.8471025156	2	0.0488028567432367	0.0466666666666627
05-Jan-2022 01:30:00	-34.2092425325479	0.310020966381877	77.0832794762914	1.84095327583609	3.62445023562465	3.50500959804303	3.20798708884479	199.522227561323	1.40561033685837	98491.743119266	2	0.0311319416152589	0.0466666666666627
05-Jan-2022 02:00:00	-24.9817985217273	0.310123877628028	105.51550991617	1.75365186526311	3.02536644884957	3.18315579363614	3.03840013202908	199.130514529095	1.02904873690487	98476.53901405	2	0.0387969768601523	0.0466666666666627
05-Jan-2022 02:30:00	-30.1216151269343	0.369883821575471	148.332484987039	1.66897456311172	3.24348628883053	3.11494975857413	3.58670760789989	196.860827833917	0.766628689616512	98473.3015494636	2	0.0403888173304389	0.0466666666666627
